         2323358 function calls (2294986 primitive calls) in 4.423 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 platform.py:624(_node)
    18189    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.004    0.004 _symbolic_trace.py:1(<module>)
     1326    0.001    0.000    0.004    0.000 typing.py:262(_collect_parameters)
     8521    0.002    0.000    0.004    0.000 enum.py:713(__call__)
        1    0.000    0.000    0.004    0.004 platform.py:771(_get_machine_win32)
        2    0.000    0.000    0.004    0.002 overrides.py:1(<module>)
      317    0.001    0.000    0.004    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.004    0.004 function.py:1(<module>)
     3117    0.002    0.000    0.004    0.000 <frozen ntpath>:51(normcase)
        1    0.000    0.000    0.004    0.004 module.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ticker.py:1(<module>)
        1    0.000    0.000    0.004    0.004 font_manager.py:1(<module>)
        4    0.000    0.000    0.004    0.001 version.py:1(<module>)
     1726    0.001    0.000    0.004    0.000 typing.py:709(<genexpr>)
     1229    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      142    0.000    0.000    0.004    0.000 wrappers.py:112(__call__)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _guards.py:1(<module>)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
        3    0.000    0.000    0.004    0.001 patches.py:2211(__init_subclass__)
     4641    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:74(__new__)
        6    0.000    0.000    0.004    0.001 patches.py:2253(pprint_styles)
        1    0.000    0.000    0.004    0.004 split_utils.py:1(<module>)
        1    0.000    0.000    0.004    0.004 table.py:1(<module>)
      148    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1682(path_hook_for_FileFinder)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
        1    0.000    0.000    0.003    0.003 worker.py:1(<module>)
      336    0.000    0.000    0.003    0.000 traceback.py:318(line)
        1    0.000    0.000    0.003    0.003 ssl.py:1(<module>)
     1219    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
        2    0.000    0.000    0.003    0.002 callable.py:1(<module>)
    94/41    0.000    0.000    0.003    0.000 typing.py:1248(__getitem__)
     1229    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.003    0.003 mathtext.py:1(<module>)
     7318    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
     8241    0.003    0.000    0.003    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
       12    0.000    0.000    0.003    0.000 core.py:1076(parse_string)
      131    0.000    0.000    0.003    0.000 linecache.py:26(getline)
     1516    0.002    0.000    0.003    0.000 inspect.py:747(unwrap)
      148    0.000    0.000    0.003    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        6    0.000    0.000    0.003    0.001 _jit_internal.py:943(_overload_method)
        2    0.000    0.000    0.003    0.002 _meta_registrations.py:3027(wrapper)
        1    0.000    0.000    0.003    0.003 _recursive.py:1(<module>)
        1    0.000    0.000    0.003    0.003 sparse_adam.py:1(<module>)
       95    0.000    0.000    0.003    0.000 _compatibility.py:10(mark_back_compat)
       75    0.000    0.000    0.003    0.000 _meta_registrations.py:3028(register)
       16    0.003    0.000    0.003    0.000 {method 'readlines' of '_io._IOBase' objects}
    18979    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 windows_events.py:1(<module>)
        6    0.000    0.000    0.003    0.000 __init__.py:73(import_module)
        1    0.000    0.000    0.003    0.003 autograd_function.py:1(<module>)
